VENTALV,DISCONNECT,HRSAT,PVSAT,ANAPHYLAXIS,PAP,KINKEDTUBE,PCWP,STROKEVOLUME,LVEDVOLUME,LVFAILURE,HYPOVOLEMIA,EXPCO2,VENTMACH,VENTTUBE,HRBP,INTUBATION,PRESS,HREKG,HR,FIO2,CATECHOL,SHUNT,BP,CO,ERRLOWOUTPUT,SAO2,ARTCO2,HISTORY,TPR,MINVOLSET,INSUFFANESTH,ERRCAUTER,VENTLUNG,CVP,MINVOL,PULMEMBOLUS
ZERO,FALSE,HIGH,LOW,FALSE,NORMAL,FALSE,HIGH,HIGH,HIGH,FALSE,TRUE,LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,HIGH,FALSE,LOW,HIGH,FALSE,LOW,NORMAL,FALSE,FALSE,ZERO,HIGH,ZERO,FALSE
ZERO,FALSE,LOW,LOW,FALSE,NORMAL,FALSE,HIGH,LOW,HIGH,FALSE,TRUE,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,FALSE,LOW,HIGH,FALSE,LOW,NORMAL,FALSE,FALSE,ZERO,HIGH,ZERO,FALSE
HIGH,TRUE,LOW,HIGH,FALSE,HIGH,FALSE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,ZERO,NORMAL,ZERO,LOW,NORMAL,HIGH,LOW,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,FALSE,HIGH,NORMAL,FALSE,HIGH,NORMAL,FALSE,FALSE,LOW,NORMAL,HIGH,FALSE
ZERO,FALSE,HIGH,LOW,FALSE,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,LOW,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,HIGH,NORMAL,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,LOW,NORMAL,TRUE,FALSE,ZERO,NORMAL,ZERO,FALSE
HIGH,TRUE,LOW,HIGH,FALSE,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,LOW,NORMAL,ZERO,LOW,NORMAL,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,NORMAL,TRUE,FALSE,LOW,NORMAL,HIGH,FALSE
HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,NORMAL,HIGH,NORMAL,HIGH,HIGH,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,HIGH,HIGH,FALSE
ZERO,FALSE,HIGH,LOW,FALSE,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,HIGH,FALSE,HIGH,NORMAL,FALSE,FALSE,ZERO,NORMAL,ZERO,FALSE
HIGH,TRUE,LOW,HIGH,FALSE,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,LOW,NORMAL,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,NORMAL,FALSE,FALSE,LOW,NORMAL,HIGH,FALSE
ZERO,FALSE,HIGH,LOW,FALSE,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,FALSE,FALSE,LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,HIGH,TRUE,NORMAL,NORMAL,FALSE,FALSE,ZERO,NORMAL,ZERO,FALSE
ZERO,FALSE,HIGH,LOW,FALSE,NORMAL,FALSE,LOW,LOW,LOW,TRUE,FALSE,LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,NORMAL,FALSE,NORMAL,HIGH,TRUE,LOW,NORMAL,FALSE,FALSE,ZERO,LOW,ZERO,FALSE
